Código EOL UE,Nome UE,Código EOL DRE,Nome da DRE UE,Sigla DRE,Nome da associação,CNPJ da associação,RF Presidente Diretoria,Nome Presidente Diretoria,RF Presidente Conselho Fiscal,Nome Presidente Conselho Fisca
019207,"EMEI APARECIDA DE LOURDES CARRILHO JARDIM, PROFA",109300,SAO MIGUEL,MP,EMEI PROF APARECIDA DE LOURDES CARRILHO JD,7664076000160,,,,
019208,"EMEF LUIZ ROBERTO MEGA, PROF.",108500,GUAIANASES,G,"EMEF LUIZ ROBERTO MEGA, PROF",3221185000152,,,,
019209,"EMEI LUIS BIRAGHI, MONSENHOR",108700,ITAQUERA,IQ,EMEI MONSENHOR LUIS BIRAGHI,6959789000199,,,,
019210,EMEI ORLANDO VILLAS BOAS,108300,CAPELA DO SOCORRO,CS,EMEI ORLANDO VILLAS BOAS,6031062000147,,,,
019211,EMEI MITSUTANI,108200,CAMPO LIMPO,CL,EMEI - MITSUTANI,5594303000101,,,,
019212,"EMEI ANTONIETA DE BARROS, PROFA",109000,PIRITUBA,PJ,EMEI ANTONIETA DE BARROS,7227007000190,,,,
019213,"EMEI RECANTO CAMPO BELO - DIRCE ZILLESG BORGES DOS SANTOS, PROFA",108300,CAPELA DO SOCORRO,CS,"EMEI RECANTO CAMPO BELO - DIRCE ZILLEG BORGES DOS SANTOS, PROFA",6004216000101,,,,
019214,CEU EMEI JARDIM VILA NOVA,108700,ITAQUERA,IQ,EMEI JARDIM VILA NOVA,5376866000115,,,,
019215,"EMEF REMO RINALDI NADDEO, PROF.",109000,PIRITUBA,PJ,EMEF REMO RINALDI NADDEO,4531758000107,,,,
019216,EMEF THEREZA MACIEL DE PAULA PROFA.,109200,SAO MATEUS,SM,EMEF PROFESSORA THEREZA MACIEL DE PAULA ,2913115000100,,,,
019217,EMEF RECANTO DOS HUMILDES,109000,PIRITUBA,PJ,EMEF RECANTO DOS HUMILDES,5127297000174,,,,
019218,EMEF JARDIM MONTE BELO,109000,PIRITUBA,PJ,EMEF JARDIM MONTE BELO,5059285000150,,,,
019219,"EMEF ENZO ANTONIO SILVESTRIN, PROF",109000,PIRITUBA,PJ,EMEF ENZO ANTONIO SILVESTRIN,5046076000171,,,,
019220,EMEF MARIO LAGO,109000,PIRITUBA,PJ,EMEF MARIO LAGO,5060608000125,,,,
019221,EMEF JARDIM DAS LARANJEIRAS,109200,SAO MATEUS,SM,EMEF JARDIM DAS LARANJEIRAS ,4905056000146,,,,
019222,"EMEF VEREMUNDO TOTH, DOM",108200,CAMPO LIMPO,CL,"EMEF - VEREMUNDO TOTH, DOM",5110013000137,,,,
019223,"EMEF MARIA APARECIDA VILASBOAS, PROFA.",109200,SAO MATEUS,SM,EMEF PROFº MARIA APARECIDA VILASBOAS,4889761000105,,,,
019224,"EMEF MILENA BENEDICTO, PROFA",109000,PIRITUBA,PJ,EMEF PROFESSORA MILENA BENEDICTO,3793169000134,,,,
019225,"EMEF WANDA OVIDIO GONCALVES, PROFA.",109300,SAO MIGUEL,MP,EMEF PROF. WANDA OVIDIO GONÇALVES,4887168000111,,,,
019226,CEU EMEF MARIA CLARA MACHADO,109300,SAO MIGUEL,MP,CEU EMEF MARIA CLARA MACHADO,5073870000104,,,,
019227,"CEU EMEF CONCEICAO APARECIDA DE JESUS, PROFA",108700,ITAQUERA,IQ,CEU EMEF PROFª CONCEIÇÃO APARECIDA DE JESUS,5082246000173,,,,
019228,"EMEF JOSE PEGORARO, PE.",108300,CAPELA DO SOCORRO,CS,"EMEF JOSÉ PEGORARO, PADRE",4474408000156,,,,
019229,"EMEF JOSUE DE CASTRO, PROF",109000,PIRITUBA,PJ,EMEF JOSUÉ DE CASTRO,4902635000135,,,,
019230,EMEI NENE DO AMANHA,108900,PENHA,PE,EMEI NENÊ DO AMANHÃ,5903442000161,,,,
019231,EMEI GLEBA DO PESSEGO,108700,ITAQUERA,IQ,EMEI GLEBA DO PESSEGO,7803165000140,,,,
019232,EMEF FAZENDA DA JUTA,109200,SAO MATEUS,SM,EMEF FAZENDA DA JUTA ,3787121000113,,,,
019233,EMEF EDGARD CARONE,109000,PIRITUBA,PJ,EMEF EDGARD CARONE,4995482000118,,,,
019234,"CEU EMEI PAULO FREIRE, PROF.",108900,PENHA,PE,CEU EMEI PROFESSOR PAULO FREIRE,5597288000147,,,,
019235,EMEI CONJ. HABITACIONAL SAO FRANCISCO,109200,SAO MATEUS,SM,EMEI CONJUNTO HABITACIONAL SAO FRANCISCO ,6017813000170,,,,
019236,EMEI CONJ. HABITACIONAL GOITI,108700,ITAQUERA,IQ,EMEI CONJ. HABITACIONAL GOITI,7570343000130,,,,
019237,EMEI SANTO DIAS DA SILVA,108600,IPIRANGA,IP,EMEI SANTO DIAS DA SILVA,5152097000171,,,,
019238,EMEI GLOBO DO SOL,109300,SAO MIGUEL,MP,EMEI GLOBO DO SOL,7708634000142,,,,
019239,"EMEI MAURO BAPTISTA, PE.",108200,CAMPO LIMPO,CL,"EMEI - MAURO BAPTISTA, PADRE",7062198000187,,,,
019240,EMEI ALFREDO VOLPI,109200,SAO MATEUS,SM,EMEI ALFREDO VOLPI ,7103564000107,,,,
019241,"EMEF HELLIO TAVARES, DR.",109300,SAO MIGUEL,MP,EMEF DR. HELLIO TAVARES,3137164000153,,,,
019242,"EMEI MARIAZINHA REZENDE FUSARI, PROFA",108100,BUTANTA,BT,EMEI PROFª MARIAZINHA REZENDE FUSARI,5916520000162,,,,
019243,"EMEF MARINA MELANDER COUTINHO, PROFA",108300,CAPELA DO SOCORRO,CS,"EMEF MARINA MELANDER COUTINHO, PROFA.",6134669000152,,,,
019244,"EMEF GIUSEPPE TAVOLARO, PROF",109200,SAO MATEUS,SM,EMEF PROFESSOR GIUSEPPE TAVOLARO ,6328218000156,,,,
019245,EMEI APARECIDA CANDIDA DOS SANTOS DE JESUS - DONA CIDICA,109200,SAO MATEUS,SM,EMEI APARECIDA CANDIDA DOS SANTOS DE JESUS ,7035089000170,,,,
019246,"EMEI RAUL NEMENZ, PROF",108500,GUAIANASES,G,EMEI RAUL NEMENZ,7654505000119,,,,
019247,EMEF TEREZINHA MOTA DE FIGUEIREDO,108200,CAMPO LIMPO,CL,EMEF - TEREZINHA MOTA DE FIGUEIREDO,6300513000102,,,,
019248,EMEI WILSON REIS SANTOS,108500,GUAIANASES,G,"EMEI WILSON REIS SANTOS, PROF.",7286491000128,,,,
019249,"EMEF DAISY AMADIO FUJIWARA, PROFA.",108100,BUTANTA,BT,EMEF PROFª DAISY AMADIO FUJIWARA,6224191000151,,,,
019250,"EMEI LAURA DA CONCEICAO PEREIRA QUINTAES, PROFA.",109300,SAO MIGUEL,MP,EMEI PROFª LAURA DA CONCEIÇÃO P. QUINTAES,7010547000117,,,,
019252,"EMEI JOSE ROBSON COSTA DE ARAUJO, BOMBEIRO",108400,FREGUESIA/BRASILANDIA,FO,"EMEI JOSE ROBSON COSTA DE ARAUJO, BOMB.",7697621000115,,,,
019253,"EMEI JOAO PAULO II, PAPA",109000,PIRITUBA,PJ,EMEI PAPA JOÃO PAULO II,7716346000130,,,,
019254,"EMEF AYRTON OLIVEIRA SAMPAIO, PROF.",108300,CAPELA DO SOCORRO,CS,"EMEF AYRTON OLIVEIRA SAMPAIO, PROF.",6329351000127,,,,
019255,EMEI ZELIA GATTAI,109000,PIRITUBA,PJ,EMEI ZELIA GATTAI,7718644000169,,,,
019256,EMEI GEORGE SAVALLA GOMES - CAREQUINHA,108200,CAMPO LIMPO,CL,EMEI - GEORGE SAVALLA GOMES - CAREQUINHA,7941939000108,,,,
019257,"EMEF ALDO DA TOFORI, PE",109100,SANTO AMARO,SA,"EMEF ALDO DA TOFORI, PE.",7123525000163,,,,
019258,EMEI GRAJAU,108300,CAPELA DO SOCORRO,CS,EMEI GRAJAU,7084875000168,,,,
019259,"EMEI CARLOS EDUARDO DE CAMARGO ARANHA, DR.",108600,IPIRANGA,IP,EMEI DR CARLOS EDUARDO DE CAMARGO ARANHA,3953727000181,,,,
019260,"CEU EMEF PAULO GONCALO DOS SANTOS, PROF.",109100,SANTO AMARO,SA,"EMEF CEU PAULO GONÇALO DOS SANTOS, PROF.",7180154000151,,,,
019261,"CEU EMEF PAULO GOMES CARDIM, PROF. DR.",108700,ITAQUERA,IQ,EMEF PROF PAULO G. CARDIM,7486128000156,,,,
019262,CEU EMEF BUTANTA,108100,BUTANTA,BT,EMEF CEU BUTANTÃ,7281441000158,,,,
019263,CEU EMEF CIDADE DUTRA,108300,CAPELA DO SOCORRO,CS,CEU EMEF CIDADE DUTRA,7033999000114,,,,
019264,CEU EMEF INACIO MONTEIRO,108500,GUAIANASES,G,EMEF CEU INÁCIO MONTEIRO,7483824000109,,,,
019265,CEU EMEF JAMBEIRO,108500,GUAIANASES,G,CEU EMEF JAMBEIRO,7492245000122,,,,
019266,CEU EMEF MENINOS,108600,IPIRANGA,IP,EMEF DO CEU MENINOS,7130715000108,,,,
019267,"EMEF MARIA RITA DE CASSIA PINHEIRO SIMOES BRAGA, PROFA.",108200,CAMPO LIMPO,CL,"EMEF - MARIA RITA DE CASSIA PINHEIRO S. BRAGA, PROFª",3089104000102,,,,
019269,CEU EMEF PARQUE SAO CARLOS,109300,SAO MIGUEL,MP,CEU EMEF PARQUE SÃO CARLOS,7457055000174,,,,
019271,CEU EMEF PERA MARMELO,109000,PIRITUBA,PJ,EMEF CEU PERA MARMELO,7452751000198,,,,
019272,CEU EMEF PERUS,109000,PIRITUBA,PJ,EMEF CEU PERUS,7034828000100,,,,
019274,"CEU EMEF CANDIDA DORA PINO PRETINI, PROFA",109200,SAO MATEUS,SM,CEU EMEF PROFESSORA CANDIDA DORA PINO PRETINI ,7481009000100,,,,
019275,EMEF FRANCISCO REBOLO,108200,CAMPO LIMPO,CL,EMEF - FRANCISCO REBOLO,3794768000172,,,,
019276,CEU EMEF TRES LAGOS,108300,CAPELA DO SOCORRO,CS,CEU EMEF TRÊS LAGOS,7347509000154,,,,
019277,CEU EMEF VILA ATLANTICA,109000,PIRITUBA,PJ,EMEF CEU VILA ATLÂNTICA,7451010000192,,,,
019278,CEU EMEF VILA CURUCA,109300,SAO MIGUEL,MP,CEU EMEF VILA CURUÇA,6273808000129,,,,
019279,CEU EMEI ALVARENGA,109100,SANTO AMARO,SA,EMEI CEU ALVARENGA,7740979000183,,,,
019280,CEU EMEI ARICANDUVA,108700,ITAQUERA,IQ,CEU EMEI ARICANDUVA,8297000000107,,,,
019281,CEU EMEI BUTANTA,108100,BUTANTA,BT,EMEI CEU BUTANTÃ,7211834000195,,,,
019283,"EMEF JOSE BLOTA JUNIOR, DEP.",108200,CAMPO LIMPO,CL,"EMEF - JOSE BLOTA JUNIOR, DEP.",3909946000163,,,,
019284,CEU EMEI INACIO MONTEIRO,108500,GUAIANASES,G,EMEI CEU INACIO MONTEIRO,7835391000103,,,,
019285,"CEU EMEI THERESINHA SQUINCA DA SILVA, PROFA",108500,GUAIANASES,G,EMEI PROFª THERESINHA SQUINCA DA SILVA,7000413000115,,,,
019287,CEU EMEI NAVEGANTES,108300,CAPELA DO SOCORRO,CS,EMEI CEU NAVEGANTES,7088134000155,,,,
019289,CEU EMEI ANTON MAKARENKO,109300,SAO MIGUEL,MP,EMEI CEU ANTON MAKARENKO,7494157000160,,,,
019290,CEU EMEI PERA MARMELO,109000,PIRITUBA,PJ,EMEI CEU PERA MARMELO,7660860000109,,,,
019291,EMEF VARGEM GRANDE,108300,CAPELA DO SOCORRO,CS,EMEF VARGEM GRANDE,3724295000137,,,,
019293,CEU EMEI SAO MATEUS,109200,SAO MATEUS,SM,EMEI CEU SAO MATEUS ,7751321000177,,,,
019295,CEU EMEI TRES LAGOS,108300,CAPELA DO SOCORRO,CS,EMEI CEU TRÊS LAGOS,7290080000106,,,,
019296,CEU EMEI VILA ATLANTICA,109000,PIRITUBA,PJ,EMEI CEU VILA ATLANTICA,7583020000181,,,,
019297,"CEU EMEI APPARECIDO DOMINGUES, PROF.",109300,SAO MIGUEL,MP,EMEI CEU VILA CURUÇA,7078049000106,,,,
019299,CEU EMEI ROSA DA CHINA,109200,SAO MATEUS,SM,CEU EMEI ROSA DA CHINA ,7755104000155,,,,
019300,"EMEI JOSE LA TORRE, PROF.",108300,CAPELA DO SOCORRO,CS,"EMEI JOSÉ LA TORRE, PROF.",7749853000170,,,,
019301,"EMEI MARIA APARECIDA LARA COIADO, PROFA",108500,GUAIANASES,G,"EMEI MARIA APARECIDA LARA COIADO, PROFª",7837191000190,,,,
019302,CEU EMEI CASA BLANCA,108200,CAMPO LIMPO,CL,EMEI - CASA BLANCA - CEU EMEI,7316588000136,,,,
019303,CEU EMEF CASA BLANCA,108200,CAMPO LIMPO,CL,EMEF - CASA BLANCA - CEU EMEF,7546952000154,,,,
019304,CEU EMEI PAZ,108400,FREGUESIA/BRASILANDIA,FO,EMEI CEU PAZ,8631928000186,,,,
019305,EMEF JOAO DA SILVA,108300,CAPELA DO SOCORRO,CS,EMEF JOÃO DA SILVA,4442788000147,,,,
019307,"CEU EMEI LUIZA HELENA FERREIRA, PROFA",108200,CAMPO LIMPO,CL,"EMEI - CEU LUIZA HELENA FERREIRA, PROFA",8242999000197,,,,
019308,CEU EMEF HERMES FERREIRA DE SOUZA,108200,CAMPO LIMPO,CL,EMEF - HERMES FERREIRA DE SOUZA - CEU EMEF,7540682000174,,,,
019309,EMEI FERNANDO SABINO,108900,PENHA,PE,EMEI FERNANDO SABINO,7929043000103,,,,
019310,"CEU CEI SILVANA APARECIDA TOBIAS, PROFA.",108500,GUAIANASES,G,CEU CEI JARDIM SOARES II,9587337000111,,,,
019311,EMEI JARDIM IMPERADOR,109200,SAO MATEUS,SM,EMEI JARDIM IMPERADOR ,7899199000180,,,,
019312,EMEI JARDIM DA CONQUISTA,109000,PIRITUBA,PJ,EMEI JARDIM DA CONQUISTA,7573345000183,,,,
019313,CEU EMEF MANOEL VIEIRA DE QUEIROZ FILHO,108300,CAPELA DO SOCORRO,CS,EMEF MANOEL VIEIRA DE QUEIROZ FILHO - CEU PARELHEIROS,4113531000141,,,,
019314,"EMEF PHILO GONCALVES DOS SANTOS, PROFA",109000,PIRITUBA,PJ,EMEF PHILO GONÇALVES DOS SANTOS ,8696297000183,,,,
019315,CEU EMEI EDNA ALVES DE SOUSA PROFA,108500,GUAIANASES,G,EMEI PROFª  EDNA ALVES DE SOUSA,7821835000151,,,,
019316,"EMEI CELIA RIBEIRO LANDIM, PROFA",109300,SAO MIGUEL,MP,EMEI PROFESSORA CÉLIA RIBEIRO LANDIM,7914006000113,,,,
019318,"EMEI EDI GREENFIELD, PROFA.",109300,SAO MIGUEL,MP,EMEI CIDADE KEMEL,8698840000181,,,,
019319,"EMEI FATIMA REGINA DA CRUZ SABINO CALACA, PROFA",108600,IPIRANGA,IP,EMEI FATIMA REGINA DA CRUZ SABINO CALAÇA,8529811000196,,,,
019320,EMEI JARDIM DA CONQUISTA II,109200,SAO MATEUS,SM,EMEI JARDIM DA CONQUISTA II ,8254735000153,,,,
019321,EMEF LOURIVAL BRANDAO DOS SANTOS,108300,CAPELA DO SOCORRO,CS,EMEF LOURIVAL BRANDÃO DOS SANTOS,4422775000106,,,,
019322,EMEF CITY JARAGUA IV,109000,PIRITUBA,PJ,EMEF CITY JARAGUA IV,9639866000111,,,,
019323,"EMEI ODILEA BOTTA DE MATTOS, PROFA",108300,CAPELA DO SOCORRO,CS,"EMEI ODILEA BOTTA DE MATTOS, PROFA.",8432625000134,,,,
019324,EMEI JARDIM NOVO SANTO AMARO - ALICE ALVES MARTINS,108200,CAMPO LIMPO,CL,EMEI - JARDIM NOVO SANTO AMARO,8543222000162,,,,
019325,EMEI MANOEL DE ALVARENGA FREIRE JUNIOR PROF,109200,SAO MATEUS,SM,EMEI PROF. MANOEL DE ALVARENGA FREIRE JUNIOR ,9271622000129,,,,
019326,EMEI JAGUARE,109000,PIRITUBA,PJ,EMEI JAGUARÉ,10248685000143,,,,
019327,EMEI RIO PEQUENO I,108100,BUTANTA,BT,EMEI RIO PEQUENO I,9254138000191,,,,
019328,"CEU EMEI IRENE MANKE MARQUES, PROFA.",108500,GUAIANASES,G,EMEI CEU AGUA AZUL,9114171000116,,,,
019330,CEU EMEI JORGE AMADO,109000,PIRITUBA,PJ,EMEI JORGE AMADO,3966110000109,,,,
019331,"CEU EMEI MARIA APARECIDA COELHO ALVES TEIXEIRA, PROFA.",108300,CAPELA DO SOCORRO,CS,CEU EMEI VILA RUBI,8834363000134,,,,
019332,CEU EMEI JACANA,108800,JACANA/TREMEMBE,JT,CEU EMEI JAÇANÃ,9525855000100,,,,
019333,CEU EMEF AGUA AZUL,108500,GUAIANASES,G,EMEF CEU AGUA AZUL,9510825000120,,,,
019335,CEU EMEF FEITICO DA VILA,108200,CAMPO LIMPO,CL,EMEF - FEITICO DA VILA CEU EMEF,11051821000173,,,,
019336,CEU EMEF VILA RUBI,108300,CAPELA DO SOCORRO,CS,CEU EMEF VILA RUBI,8857973000153,,,,
019337,CEU EMEF JACANA,108800,JACANA/TREMEMBE,JT,CEU EMEF JAÇANÃ,8921378000130,,,,
019338,CEU EMEI FEITICO DA VILA,108200,CAMPO LIMPO,CL,EMEI - FEITICO DA VILA - CEU EMEI,9385339000128,,,,
019339,EMEI CIDADE A E CARVALHO,108700,ITAQUERA,IQ,EMEI CIDADE AE CARVALHO,8975253000192,,,,
019340,EMEI ROBERTO BURLE MARX,108200,CAMPO LIMPO,CL,EMEI - ROBERTO BURLE MARX,10241398000101,,,,
019341,"EMEF JARDIM GUARANI - JOSE ALFREDO APOLINARIO, PROF.",108400,FREGUESIA/BRASILANDIA,FO,EMEF JARDIM GUARANI,9599293000140,,,,
019342,"EMEI LEILA MARIA FONTELES FARIAS, PROFA",108900,PENHA,PE,EMEI JARDIM KERALUX,10833393000178,,,,
019344,"EMEI ELIZA MARA TORRES, PROFA",108500,GUAIANASES,G,"EMEI ELIZA MARA TORRES, PROFª",9405856000111,,,,
019345,EMEI ESTRADA TURISTICA DO JARAGUA,109000,PIRITUBA,PJ,EMEI ESTRADA TURÍSTICA DO JARAGUÁ,10469703000117,,,,
019346,EMEI NAJLA CURI IZAR,108700,ITAQUERA,IQ,EMEI NAJLA CURI IZAR,10348631000150,,,,
019347,EMEF JARDIM DA CONQUISTA,109000,PIRITUBA,PJ,EMEF JARDIM DA CONQUISTA,10644858000142,,,,
019348,EMEF GIANFRANCESCO GUARNIERI,108200,CAMPO LIMPO,CL,EMEF - GIANFRANCESCO GUARNIERI,3778499000150,,,,
019349,EMEF JARDIM DAMASCENO I,108400,FREGUESIA/BRASILANDIA,FO,EMEF JARDIM DAMASCENO I,10861711000104,,,,
019350,"EMEF JOSE HERMINIO RODRIGUES, CEL. PM",108400,FREGUESIA/BRASILANDIA,FO,"EMEF JOSE HERMINIO RODRIGUES, CEL PM",10555881000160,,,,
019351,"EMEF MARILI DIAS, PROFA",109000,PIRITUBA,PJ,EMEF PROFESSORA MARILI DIAS,10757949000194,,,,
019352,CEU EMEI GUARAPIRANGA,108200,CAMPO LIMPO,CL,EMEI - GUARAPIRANGA - CEU EMEI,10440379000104,,,,
019353,CEU EMEI CANTOS DO AMANHECER,108200,CAMPO LIMPO,CL,EMEI - CANTOS DO AMANHECER CEU EMEI,10767231000189,,,,
019354,CEU EMEI VILA DO SOL,108200,CAMPO LIMPO,CL,CEU EMEI VILA DO SOL,10221475000161,,,,
019355,CEU EMEI JARDIM PAULISTANO,108400,FREGUESIA/BRASILANDIA,FO,EMEI DO CEU JARDIM PAULISTANO,10902060000153,,,,
019357,CEU EMEI BRAZ JAIME ROMANO,108900,PENHA,PE,CEU EMEI BRAZ JAIME ROMANO,10748906000142,,,,
019358,"CEU EMEI ERIKA DE SOUZA BRITO MATOS, PROFA.",109200,SAO MATEUS,SM,CEU EMEI PROFª ERIKA DE SOUZA BRITO MATOS,10766280000105,,,,
019359,CEU EMEI TRES PONTES,109300,SAO MIGUEL,MP,CEU EMEI TRES PONTES ,10740214000158,,,,
019360,CEU EMEF MARIO FITTIPALDI,108200,CAMPO LIMPO,CL,EMEF - GUARAPIRANGA CEU EMEF,10466617000150,,,,
019361,CEU EMEF CANTOS DO AMANHECER,108200,CAMPO LIMPO,CL,EMEF - CANTOS DO AMANHECER CEU EMEF,10756942000158,,,,
019362,CEU EMEF VILA DO SOL,108200,CAMPO LIMPO,CL,EMEF - VILA DO SOL CEU EMEF,11050495000180,,,,
019363,CEU EMEF JARDIM PAULISTANO,108400,FREGUESIA/BRASILANDIA,FO,APM  DA EMEF JARDIM PAULISTANO,10516905000172,,,,
019364,"CEU EMEI ROQUE SPENCER MACIEL DE BARROS, PROF.",109200,SAO MATEUS,SM,CEU EMEI PROF. ROQUE SPENCER MACIEL DE BARROS ,3928163000127,,,,
019365,"CEU EMEF ROSANGELA RODRIGUES VIEIRA, PROFA.",108900,PENHA,PE,"CEU EMEF ROSANGELA RODRIGUES VIEIRA, PROF",10935891000121,,,,
019366,CEU EMEF TATIANA BELINKY,109200,SAO MATEUS,SM,EMEF TATIANA BELINKY,10478853000197,,,,
019367,CEU EMEF TRES PONTES,109300,SAO MIGUEL,MP,CEU EMEF TRÊS PONTES,10700999000135,,,,
019369,CEU EMEF LAJEADO,108500,GUAIANASES,G,EMEF CEU LAJEADO,10295668000167,,,,
019370,"EMEF JARDIM MITSUTANI I - PAULO PATARRA, JORNALISTA",108200,CAMPO LIMPO,CL,EMEF - JARDIM MITSUTANI I,10896328000191,,,,
019371,CEU EMEI CAMINHO DO MAR,109100,SANTO AMARO,SA,CEU EMEI CAMINHO DO MAR - DULCE SALLES CUNHA BRAGA,11187293000184,,,,
019372,EMEF CHACARA SONHO AZUL,108200,CAMPO LIMPO,CL,EMEF - CHACARA SONHO AZUL,4407170000146,,,,
019373,"CEU EMEF JOSE REZENDE, PROF.",109100,SANTO AMARO,SA,CEU EMEF CAMINHO DO MAR - DULCE SALLES CUNHA BRAGA,11378468000130,,,,
019374,"CEU EMEI LOREANE LALLO, PROFA",108200,CAMPO LIMPO,CL,EMEI - CAPAO REDONDO - CEU EMEI,11018747000193,,,,
019375,CEU EMEI PARAISOPOLIS,108200,CAMPO LIMPO,CL,EMEI - PARAISOPOLIS - CEU EMEI,11018399000154,,,,
019376,"CEU EMEI LUCIANA AZEVEDO POMPERMAYER, PROFA.",108600,IPIRANGA,IP,"EMEI CEU - LUCIANA AZEVEDO POMPERMAYER,PROF",10933073000190,,,,
019377,CEU EMEI FORMOSA,108700,ITAQUERA,IQ,CEU EMEI FORMOSA,11093185000142,,,,
019378,CEU EMEI UIRAPURU,108100,BUTANTA,BT,EMEI CEU UIRAPURU,10895699000159,,,,
019380,CEU EMEI PARQUE ANHANGUERA,109000,PIRITUBA,PJ,EMEI CEU PARQUE ANHANGUERA,11272376000171,,,,
019381,"EMEI EDALZIR SAMPAIO LIPORONI, PROFA.",108800,JACANA/TREMEMBE,JT,EMEI PROFESSORA EDALZIR SAMPAIO LIPORONI,3855685000146,,,,
019382,CEU EMEI ALTO ALEGRE,109200,SAO MATEUS,SM,EMEI CEU ALTO ALEGRE ,10895479000125,,,,
019383,CEU EMEF JOSE SARAMAGO,108200,CAMPO LIMPO,CL,EMEF - CAPAO REDONDO - CEU EMEF,11044766000194,,,,
019384,CEU EMEF PARAISOPOLIS,108200,CAMPO LIMPO,CL,EMEF - PARAISOPOLIS - CEU EMEF,11005669000192,,,,
019385,"CEU EMEF MARA CRISTINA TARTAGLIA SENA, PROFA.",108600,IPIRANGA,IP,"CEU EMEF MARA CRISTINA TARTAGLIA SENA,  PROFª",11035704000116,,,,
019386,"CEU EMEF MARIA APARECIDA DE SOUZA CAMPOS, PROFA",108700,ITAQUERA,IQ,CEU EMEF MARIA APARECIDA DE SOUZA CAMPOS,10929935000100,,,,
019388,"CEU EMEF ANTONIO CARLOS ROCHA, PROF.",108900,PENHA,PE,"CEU EMEF ANTONIO CARLOS ROCHA,PROFº",11146472000173,,,,
019389,CEU EMEF PARQUE ANHANGUERA,109000,PIRITUBA,PJ,CEU EMEF PARQUE ANHANGUERA,10938695000100,,,,
019390,CEU EMEF JAGUARE,109000,PIRITUBA,PJ,CEU EMEF JAGUARÉ,12473561000197,,,,
019391,CEU EMEF ALTO ALEGRE,109200,SAO MATEUS,SM,CEU EMEF ALTO ALEGRE ,11031738000132,,,,
019392,CEU EMEI JAGUARE,109000,PIRITUBA,PJ,CEU EMEI JAGUARÉ,12056566000114,,,,
019393,"EMEI BERNARDINO PIMENTEL MENDES, DR",108400,FREGUESIA/BRASILANDIA,FO,"EMEI BERNARDINO PIMENTEL MENDES, DR.",11019458000109,,,,
019394,"EMEF CAIRA ALAYDE ALVARENGA MEDEA, PROFA",108400,FREGUESIA/BRASILANDIA,FO,EMEF PROFESSORA CAIRA ALAYDE ALVARENGA MEDEA,10826604000145,,,,
019395,"EMEF NEIR AUGUSTO LOPES, PROF",108400,FREGUESIA/BRASILANDIA,FO,EMEF PROFESSOR NEIR AUGUSTO LOPES,10868012000196,,,,
019396,"EMEF SERAFIN MARTINEZ GUTIERREZ, PE.",108900,PENHA,PE,"EMEF SERAFIN MARTINEZ GUITIERREZ, PADRE",10951266000173,,,,
019397,"EMEF GILMAR TACCOLA , PROF",108700,ITAQUERA,IQ,"EMEF GILMAR TACCOLA, PROF.",10980227000102,,,,
019398,EMEF AGUAS DE MARCO,108700,ITAQUERA,IQ,EMEF ÁGUAS DE MARÇO,11242861000100,,,,
019399,"EMEF JANUARIO MANTELLI NETO, DEP.",108900,PENHA,PE,EMEF DEP. JANUÁRIO MANTELLI NETO,3757780000107,,,,
019400,EMEF DAMA ENTRE RIOS VERDES,109300,SAO MIGUEL,MP,EMEF DAMA ENTRE RIOS VERDES,10942024000113,,,,
019401,EMEF JARDIM FONTALIS,108800,JACANA/TREMEMBE,JT,EMEF JARDIM FONTALIS,10951265000129,,,,
019402,EMEF ZILKA SALABERRY DE CARVALHO,108400,FREGUESIA/BRASILANDIA,FO,EMEF ZILKA SALABERRY DE CARVALHO,3559254000132,,,,
019403,EMEI VILA VERDE,108700,ITAQUERA,IQ,EMEI VILA VERDE,11258489000112,,,,
019404,EMEF NEUZA AVELINO DA SILVA MELO,109300,SAO MIGUEL,MP,EMEF CAUCÁSICA,10879020000138,,,,
019405,"EMEF GILBERTO DUPAS, PROF",108400,FREGUESIA/BRASILANDIA,FO,EMEF PROFESSOR GILBERTO DUPAS,61192340000156,,,,
019406,EMEF CONSTELACAO DO INDIO,108300,CAPELA DO SOCORRO,CS,EMEF CONSTELAÇÃO DO ÍNDIO,11714285000149,,,,
019407,"EMEF VIRGINIA LORISA ZEITOUNIAN CAMARGO, PROFA",109200,SAO MATEUS,SM,EMEF PROFª  VIRGINIA LORISA ZEITOUNIAN CAMARGO,10931289000116,,,,
019408,EMEF PARQUE BOA ESPERANCA II,109200,SAO MATEUS,SM,EMEF PARQUE BOA ESPERANCA II ,10878358000175,,,,
019409,"EMEF IZABEL APARECIDA CRISTOVAO DA LUZ, PROFA",109300,SAO MIGUEL,MP,EMEF IZABEL APARECIDA CRISTOVÃO DA LUZ,10818559000187,,,,
019410,EMEF MURURES,109300,SAO MIGUEL,MP,EMEF MURURES,11058437000100,,,,
019412,EMEF BADRA,109000,PIRITUBA,PJ,EMEF BADRA,12001385000190,,,,
019413,"EMEF ELIANE BENUTE LESSA AYRES GONCALVES, PROFESSORA- NANY BENUTE",109000,PIRITUBA,PJ,"EMEF ELIANE BENUTE LESSA AYRES GONÇALVES, PROFª.",12127249000141,,,,
019414,"EMEF MOISES ELIAS DE SOUZA, TTE.",109000,PIRITUBA,PJ,"EMEF MOISES ELIAS DE SOUZA, TEM",12134204000102,,,,
